
[STANDBY-SENTRY] 14:14:59 | Intent: ACTIVE | Load Delta: 0.26
[STANDBY-SENTRY] 14:15:59 | Intent: ACTIVE | Load Delta: 0.63
[STANDBY-SENTRY] 14:16:59 | Intent: ACTIVE | Load Delta: 0.75
[STANDBY-SENTRY] 14:17:59 | Intent: ACTIVE | Load Delta: 0.44
[STANDBY-SENTRY] 14:18:59 | Intent: ACTIVE | Load Delta: 0.44
[STANDBY-SENTRY] 14:19:59 | Intent: ACTIVE | Load Delta: 0.46
[STANDBY-SENTRY] 14:20:59 | Intent: ACTIVE | Load Delta: 0.44
[STANDBY-SENTRY] 14:21:59 | Intent: ACTIVE | Load Delta: 0.33
[STANDBY-SENTRY] 14:22:59 | Intent: ACTIVE | Load Delta: 0.22
[STANDBY-SENTRY] 14:23:59 | Intent: ACTIVE | Load Delta: 0.46
[STANDBY-SENTRY] 14:24:59 | Intent: ACTIVE | Load Delta: 0.93
[STANDBY-SENTRY] 14:25:59 | Intent: ACTIVE | Load Delta: 0.49
[STANDBY-SENTRY] 14:26:59 | Intent: ACTIVE | Load Delta: 0.94
[STANDBY-SENTRY] 14:27:59 | Intent: ACTIVE | Load Delta: 0.34
[STANDBY-SENTRY] 14:28:59 | Intent: ACTIVE | Load Delta: 0.18
[STANDBY-SENTRY] 14:29:59 | Intent: ACTIVE | Load Delta: 0.40
[STANDBY-SENTRY] 14:30:59 | Intent: ACTIVE | Load Delta: 0.44
[STANDBY-SENTRY] 14:31:59 | Intent: ACTIVE | Load Delta: 0.21
[STANDBY-SENTRY] 14:32:59 | Intent: ACTIVE | Load Delta: 1.46
[STANDBY-SENTRY] 14:33:59 | Intent: ACTIVE | Load Delta: 0.99
[STANDBY-SENTRY] 14:34:59 | Intent: ACTIVE | Load Delta: 0.76
[STANDBY-SENTRY] 14:35:59 | Intent: ACTIVE | Load Delta: 0.46
[STANDBY-SENTRY] 14:36:59 | Intent: ACTIVE | Load Delta: 1.05
[STANDBY-SENTRY] 14:37:59 | Intent: ACTIVE | Load Delta: 0.91
[STANDBY-SENTRY] 14:38:59 | Intent: ACTIVE | Load Delta: 0.76
[STANDBY-SENTRY] 14:39:59 | Intent: ACTIVE | Load Delta: 0.59
[STANDBY-SENTRY] 14:40:59 | Intent: ACTIVE | Load Delta: 0.30
[STANDBY-SENTRY] 14:41:59 | Intent: ACTIVE | Load Delta: 2.42
[STANDBY-SENTRY] 14:42:59 | Intent: ACTIVE | Load Delta: 0.93
[STANDBY-SENTRY] 14:43:59 | Intent: ACTIVE | Load Delta: 0.53
[STANDBY-SENTRY] 14:44:59 | Intent: ACTIVE | Load Delta: 0.45
[STANDBY-SENTRY] 14:45:59 | Intent: ACTIVE | Load Delta: 2.64
[STANDBY-SENTRY] 14:46:59 | Intent: ACTIVE | Load Delta: 1.30
[STANDBY-SENTRY] 14:47:59 | Intent: ACTIVE | Load Delta: 0.67
[STANDBY-SENTRY] 14:48:59 | Intent: ACTIVE | Load Delta: 0.76
[STANDBY-SENTRY] 14:49:59 | Intent: ACTIVE | Load Delta: 0.75
[STANDBY-SENTRY] 14:50:59 | Intent: ACTIVE | Load Delta: 0.49
[STANDBY-SENTRY] 14:51:59 | Intent: ACTIVE | Load Delta: 0.29
[STANDBY-SENTRY] 14:52:59 | Intent: ACTIVE | Load Delta: 0.34
[STANDBY-SENTRY] 14:53:59 | Intent: ACTIVE | Load Delta: 0.12
[STANDBY-SENTRY] 14:54:59 | Intent: ACTIVE | Load Delta: 0.23
[STANDBY-SENTRY] 14:55:59 | Intent: ACTIVE | Load Delta: 0.71
[STANDBY-SENTRY] 14:56:59 | Intent: ACTIVE | Load Delta: 0.72
[STANDBY-SENTRY] 14:57:59 | Intent: ACTIVE | Load Delta: 0.50
[STANDBY-SENTRY] 14:58:59 | Intent: ACTIVE | Load Delta: 0.27
[STANDBY-SENTRY] 14:59:59 | Intent: ACTIVE | Load Delta: 0.32
[STANDBY-SENTRY] 15:00:59 | Intent: ACTIVE | Load Delta: 0.37
[STANDBY-SENTRY] 15:01:59 | Intent: ACTIVE | Load Delta: 0.18
[STANDBY-SENTRY] 15:02:59 | Intent: ACTIVE | Load Delta: 0.60
[STANDBY-SENTRY] 15:03:59 | Intent: ACTIVE | Load Delta: 0.28
[STANDBY-SENTRY] 15:04:59 | Intent: ACTIVE | Load Delta: 0.26
